order_item_id,order_id,product_id,qty,unit_price,line_total
1,8528,484,4,112.92,564.6
2,17357,398,5,665.22,665.22
3,207,1424,5,133.62,267.24
4,9896,533,1,183.08,732.32
5,9913,1161,2,65.85,197.55
6,3700,639,4,570.65,1711.95
7,12633,772,1,49.62,248.1
8,7292,816,2,427.84,855.68
9,12239,1196,1,46.44,46.44
10,19244,1384,4,548.61,2194.44
11,6368,169,2,365.58,365.58
12,16459,803,1,169.67,848.35
13,15597,942,1,157.78,473.34
14,3752,1350,5,32.55,65.1
15,2026,1074,5,41.68,41.68
16,16731,555,1,100.07,400.28
17,6116,1363,5,24.95,24.95
18,322,1231,3,235.17,470.34
19,18395,68,3,110.46,552.3
20,5246,126,4,993.33,1986.66
21,18018,228,4,210.94,843.76
22,16099,720,2,143.36,286.72
23,16733,563,4,857.37,2572.11
24,8139,1491,5,90.95,272.85
25,18579,256,3,55.74,278.7
26,6120,1238,2,81.09,162.18
27,8892,542,3,80.63,241.89
28,13107,57,4,30.52,30.52
29,5793,708,2,103.84,207.68
30,16079,108,4,1099.76,3299.28
31,18080,1107,2,113.48,567.4
32,11058,345,5,246.66,246.66
33,2437,604,1,1134.06,4536.24
34,12369,350,1,1748.94,5246.82
35,1818,158,5,172.04,172.04
36,14808,1132,5,1107.38,1107.38
37,3637,1078,2,151.85,455.55
38,10058,459,4,229.55,459.1
39,5079,307,1,103.22,309.66
40,7317,951,4,1109.8,3329.4
41,19021,1165,2,118.59,355.77
42,6124,980,4,58.22,291.1
43,8579,322,4,83.42,417.1
44,2358,1261,1,137.06,548.24
45,7469,294,4,185.47,185.47
46,2338,371,4,1089.96,4359.84
47,15567,190,2,65.4,261.6
48,9584,110,1,161.24,161.24
49,3196,340,1,163.01,815.05
50,6767,423,2,29.42,29.42
51,7418,1186,1,53.07,265.35
52,8363,487,1,53.42,160.26
53,2246,508,5,111.58,557.9
54,15787,344,2,121.99,121.99
55,4675,472,5,178.62,893.1
56,5885,1064,5,378.19,1512.76
57,1339,945,3,652.18,1304.36
58,13079,476,5,139.18,139.18
59,15865,1204,4,158.46,792.3
60,15093,875,4,62.16,62.16
61,17363,1242,3,66.29,132.58
62,19235,765,5,67.56,67.56
63,10573,386,3,209.52,209.52
64,15092,463,3,111.48,334.44
65,10982,1101,1,66.59,332.95
66,5586,735,2,736.59,1473.18
67,5742,533,3,153.15,765.75
68,11881,1337,3,125.21,125.21
69,19868,20,2,161.41,161.41
70,46,909,5,1095.43,4381.72
71,7976,561,1,95.04,285.12
72,19510,1233,4,1399.84,4199.52
73,365,1381,5,1231.74,4926.96
74,11099,1394,3,154.28,617.12
75,10833,1016,2,179.78,898.9
76,14744,1121,4,899.75,4498.75
77,4240,461,3,136.73,546.92
78,3670,1074,1,34.19,34.19
79,19909,875,5,58.61,293.05
80,9338,984,4,200.77,1003.85
81,18344,413,1,139.9,419.7
82,12725,1389,3,1406.83,7034.15
83,620,236,4,63.64,63.64
84,9115,1295,3,59.04,59.04
85,9457,1228,5,164.09,328.18
86,12465,489,4,104.79,104.79
87,15690,1264,3,122.27,611.35
88,10489,601,2,39.76,119.28
89,15206,838,1,187.0,935.0
90,9714,447,4,64.35,128.7
91,17336,1409,4,188.72,566.16
92,18485,395,5,21.01,42.02
93,6832,332,3,486.5,2432.5
94,11840,1482,1,768.43,1536.86
95,13385,391,5,140.74,422.22
96,8019,550,2,148.19,444.57
97,11494,851,3,290.29,290.29
98,18076,857,5,99.05,198.1
99,15518,1346,4,229.64,459.28
100,18437,110,4,173.01,173.01
101,8946,1029,2,112.33,449.32
102,13942,228,3,277.84,1111.36
103,11777,578,2,116.53,582.65
104,607,333,2,71.86,215.58
105,19589,998,4,132.24,396.72
106,10035,760,1,205.26,821.04
107,19466,805,5,124.67,374.01
108,5293,307,5,80.99,161.98
109,179,813,5,146.45,146.45
110,17725,151,4,83.57,167.14
111,18604,233,5,144.57,289.14
112,5388,1493,1,43.34,43.34
113,11189,725,4,389.72,779.44
114,14052,1364,1,40.66,162.64
115,14078,98,1,21.55,107.75
116,7993,222,4,202.35,607.05
117,19420,122,3,176.37,881.85
118,11838,66,1,131.47,657.35
119,16188,636,4,327.55,655.1
120,3964,726,5,61.8,309.0
121,9611,619,1,89.19,356.76
122,17249,459,3,169.18,507.54
123,7326,833,2,171.96,687.84
124,161,835,2,369.75,739.5
125,3040,688,4,168.51,842.55
126,3461,1347,1,108.92,544.6
127,18807,358,1,340.09,680.18
128,10569,57,1,31.59,31.59
129,579,318,3,170.77,853.85
130,18839,180,4,122.16,122.16
131,4607,1451,2,1706.44,3412.88
132,15031,73,5,300.74,1202.96
133,17258,828,3,147.31,441.93
134,12632,405,3,175.37,526.11
135,10624,1037,3,60.38,241.52
136,15626,422,2,169.31,338.62
137,1371,450,2,344.57,344.57
138,12490,558,4,420.74,841.48
139,5787,483,3,56.72,113.44
140,3961,1322,2,407.83,2039.15
141,19431,1289,3,71.27,71.27
142,4459,8,5,219.04,657.12
143,16472,275,1,107.32,536.6
144,9570,1014,1,24.37,73.11
145,13685,792,2,121.24,484.96
146,8544,91,2,141.19,564.76
147,14941,400,3,258.44,258.44
148,7845,523,3,121.06,363.18
149,5419,539,2,163.12,326.24
150,9848,1395,4,174.89,699.56
151,15957,793,3,40.18,200.9
152,2990,3,2,156.45,625.8
153,12240,221,5,110.64,110.64
154,3165,756,5,93.79,281.37
155,9741,1275,1,147.43,147.43
156,19839,637,4,111.49,334.47
157,8193,891,4,74.61,373.05
158,8918,756,5,101.36,304.08
159,18549,774,4,180.24,720.96
160,2179,739,2,174.42,348.84
161,2684,598,3,73.92,147.84
162,9626,367,1,177.0,177.0
163,14106,732,2,74.62,373.1
164,5593,1471,1,90.08,90.08
165,15041,303,2,252.45,504.9
166,7291,87,3,104.22,208.44
167,4504,384,3,511.09,511.09
168,11779,1379,4,63.43,253.72
169,6915,1490,3,89.98,89.98
170,14612,1371,2,66.88,133.76
171,14974,81,2,177.41,532.23
172,6945,1010,4,124.15,124.15
173,8325,1027,5,116.96,467.84
174,19410,1053,3,58.22,116.44
175,5344,1399,3,95.22,476.1
176,10433,653,3,21.96,109.8
177,10320,1169,3,1806.76,1806.76
178,1771,598,3,82.38,164.76
179,9402,1122,2,112.1,112.1
180,18298,1108,4,101.61,101.61
181,3895,873,3,199.35,598.05
182,1633,316,5,137.16,548.64
183,16282,1186,3,55.75,223.0
184,3307,1176,3,282.54,847.62
185,33,35,4,94.0,188.0
186,9447,1174,3,708.95,2126.85
187,10507,712,2,132.77,663.85
188,15816,797,1,93.02,279.06
189,16462,971,1,158.99,794.95
190,12989,1133,5,144.15,288.3
191,3204,641,5,20.42,40.84
192,989,567,2,138.08,552.32
193,16069,743,1,31.22,31.22
194,19317,566,3,43.98,43.98
195,14019,493,5,55.61,111.22
196,9803,780,1,158.49,316.98
197,8809,211,3,137.42,412.26
198,9428,1169,4,1944.92,1944.92
199,10040,809,5,453.14,906.28
200,13462,43,4,266.0,532.0
201,13608,635,4,153.51,153.51
202,16154,766,4,92.43,184.86
203,8551,1478,3,164.03,492.09
204,13641,1306,2,115.81,231.62
205,6935,396,1,702.93,1405.86
206,1536,1406,5,103.57,103.57
207,1334,241,2,979.48,4897.4
208,17961,1002,1,887.73,887.73
209,18319,914,5,276.63,1383.15
210,13204,193,5,77.41,309.64
211,13642,23,4,487.92,1951.68
212,9777,1044,2,1296.15,2592.3
213,1065,182,5,141.3,706.5
214,17447,438,1,160.3,320.6
215,9615,1005,5,54.17,54.17
216,8830,222,1,199.57,598.71
217,19528,625,2,104.3,312.9
218,16931,772,5,60.53,302.65
219,8036,544,5,37.35,112.05
220,7035,509,4,1316.42,2632.84
221,416,753,1,51.1,153.3
222,12083,476,5,147.99,443.97
223,581,1170,1,40.26,80.52
224,1157,374,2,125.3,125.3
225,19934,229,2,87.21,348.84
226,13063,1345,1,220.42,220.42
227,11628,1006,3,52.56,157.68
228,11326,745,1,973.18,4865.9
229,15286,189,4,1526.6,1526.6
230,13740,617,2,126.07,378.21
231,16203,627,4,23.25,23.25
232,2943,527,1,347.82,347.82
233,5855,1027,4,97.61,292.83
234,10539,1266,5,151.02,604.08
235,17239,530,5,52.99,158.97
236,12186,829,2,102.4,409.6
237,2957,694,4,66.11,264.44
238,219,1197,3,70.38,140.76
239,11735,905,4,79.34,238.02
240,6828,789,4,37.13,74.26
241,10073,528,5,139.17,695.85
242,1984,1245,1,206.85,206.85
243,5799,51,1,120.23,120.23
244,12305,272,1,62.65,250.6
245,4354,815,3,212.88,1064.4
246,15430,759,5,160.53,642.12
247,3184,606,2,97.97,489.85
248,5723,637,1,94.42,377.68
249,15936,360,3,2296.86,4593.72
250,8396,160,1,137.53,412.59
251,18459,969,1,1784.35,3568.7
252,14309,886,1,323.29,1293.16
253,19274,1076,5,77.68,388.4
254,5006,1228,4,161.18,322.36
255,4159,1414,4,28.15,140.75
256,11483,632,3,185.01,185.01
257,6915,1210,2,170.63,170.63
258,15618,1236,1,80.6,161.2
259,8977,1053,2,43.25,216.25
260,5108,1120,4,104.53,104.53
261,7581,599,3,59.06,177.18
262,12776,627,2,30.74,92.22
263,8438,785,5,190.27,761.08
264,8173,693,1,134.97,134.97
265,12201,30,2,108.45,216.9
266,17405,1474,1,8.64,25.92
267,17713,1198,5,141.07,141.07
268,18380,336,5,1534.44,6137.76
269,18110,787,2,1304.43,2608.86
270,12172,304,1,160.02,160.02
271,10771,505,2,77.98,155.96
272,18854,661,3,93.06,279.18
273,2621,921,4,1042.39,4169.56
274,1833,1118,1,869.94,1739.88
275,1765,325,4,266.38,532.76
276,9586,117,1,66.85,200.55
277,14384,370,3,247.53,990.12
278,8975,565,3,58.23,58.23
279,7596,905,2,100.67,100.67
280,8593,138,5,23.0,92.0
281,17390,804,1,128.02,384.06
282,12812,1154,3,48.47,145.41
283,3047,1303,4,51.0,102.0
284,5052,1143,1,174.77,349.54
285,3727,890,4,33.55,33.55
286,5248,623,2,153.79,307.58
287,9307,1244,3,38.39,76.78
288,10400,203,1,509.7,2038.8
289,3228,578,5,111.1,111.1
290,344,683,1,1676.73,8383.65
291,16965,666,1,179.66,898.3
292,623,560,4,74.14,370.7
293,19373,815,1,191.7,958.5
294,19385,949,4,30.21,90.63
295,7411,1180,1,1699.55,1699.55
296,723,1139,5,209.85,839.4
297,10928,1064,4,419.38,1258.14
298,3945,1422,4,47.24,188.96
299,10504,138,4,23.16,92.64
300,17235,101,4,316.32,1265.28
301,17919,1009,5,313.12,939.36
302,18037,243,2,118.33,118.33
303,12048,413,2,198.49,992.45
304,9795,750,1,140.14,140.14
305,9452,691,1,180.34,541.02
306,19175,38,5,98.06,294.18
307,18125,184,1,112.85,112.85
308,16063,780,5,166.86,667.44
309,1823,409,5,87.08,261.24
310,13231,240,4,84.97,339.88
311,3282,767,4,1336.39,6681.95
312,4608,649,2,98.45,98.45
313,9412,412,2,215.01,860.04
314,12538,1148,5,52.42,262.1
315,7205,705,5,180.07,540.21
316,3485,951,4,1089.71,5448.55
317,4780,599,2,53.02,159.06
318,5707,1291,2,64.65,323.25
319,17565,912,5,1192.12,2384.24
320,3778,91,3,124.73,498.92
321,1683,804,3,159.29,159.29
322,6029,1176,4,252.34,504.68
323,4936,1154,3,69.22,346.1
324,14490,1457,4,951.31,1902.62
325,18528,244,5,246.09,738.27
326,14578,409,2,83.61,334.44
327,1317,279,4,75.81,303.24
328,8985,949,5,27.62,27.62
329,16311,746,2,84.55,84.55
330,7922,493,4,51.96,155.88
331,1991,767,5,1621.67,8108.35
332,13130,418,5,136.05,272.1
333,4032,1155,4,120.67,120.67
334,13755,570,4,52.99,105.98
335,14613,1196,5,36.35,36.35
336,14059,1197,2,70.43,281.72
337,960,1421,1,88.83,266.49
338,5460,917,5,153.2,766.0
339,6999,1141,5,39.65,158.6
340,15998,1153,1,105.29,526.45
341,2265,902,3,135.17,270.34
342,8765,615,3,118.31,236.62
343,4140,179,5,140.79,703.95
344,3102,445,1,37.61,75.22
345,8652,828,1,123.46,123.46
346,11164,1206,3,129.99,259.98
347,19308,1018,5,128.86,257.72
348,16846,221,1,114.26,571.3
349,9128,125,2,391.71,391.71
350,17736,936,5,99.13,198.26
351,10066,86,3,111.0,111.0
352,16190,1126,3,343.08,1715.4
353,12996,1116,5,126.0,378.0
354,16163,1136,3,35.73,178.65
355,9794,1130,4,322.85,1291.4
356,5120,529,2,110.3,220.6
357,13062,351,3,167.25,334.5
358,13356,686,3,100.07,400.28
359,15906,192,3,1873.09,3746.18
360,17834,793,5,46.62,139.86
361,13345,110,4,222.46,222.46
362,836,308,1,98.6,98.6
363,3294,887,2,25.12,75.36
364,3759,1442,5,188.03,188.03
365,1730,208,4,116.15,464.6
366,753,366,5,97.2,388.8
367,5341,1251,4,1985.99,3971.98
368,8889,190,4,65.14,130.28
369,1546,1498,4,410.68,821.36
370,2221,143,1,62.29,311.45
371,7025,268,2,50.99,254.95
372,9736,732,1,101.19,303.57
373,12799,893,3,168.34,336.68
374,4044,1174,4,850.97,1701.94
375,15006,568,2,81.5,326.0
376,17197,1383,5,250.7,1253.5
377,1560,1006,3,48.03,144.09
378,6907,798,4,115.04,345.12
379,15583,590,1,46.5,232.5
380,14299,1280,4,723.45,1446.9
381,2426,577,3,473.06,946.12
382,811,188,4,293.89,1469.45
383,14312,159,4,137.39,412.17
384,19432,1224,1,28.73,114.92
385,7265,118,5,129.38,388.14
386,7216,355,3,142.23,284.46
387,13635,610,3,126.3,631.5
388,4189,274,3,228.02,912.08
389,9529,200,1,216.79,216.79
390,18724,574,3,260.63,521.26
391,7278,540,3,252.79,758.37
392,12930,879,2,43.56,217.8
393,16404,986,1,118.86,118.86
394,1464,286,4,72.79,145.58
395,16191,494,3,85.24,426.2
396,8952,1255,5,202.5,810.0
397,15093,647,3,435.85,1743.4
398,13831,575,4,115.39,461.56
399,8375,813,5,166.51,166.51
400,16726,451,1,432.06,1728.24
401,9121,1197,1,66.29,132.58
402,4647,341,2,115.16,115.16
403,8384,867,3,110.59,221.18
404,9297,1438,3,141.36,282.72
405,3116,246,1,38.02,38.02
406,6280,582,3,404.71,2023.55
407,10957,88,5,140.77,140.77
408,6289,1266,4,212.31,636.93
409,13118,155,5,21.76,21.76
410,2806,661,5,88.79,177.58
411,6702,986,5,137.91,551.64
