order_id,customer_id,store_id,order_date,order_status
1,4317,90,2025-03-28,cancelled
2,2858,455,2025-04-06,cancelled
3,3204,302,2025-04-10,returned
4,2264,159,2025-04-21,pending
5,337,297,2025-06-10,cancelled
6,1008,222,2025-05-05,returned
7,4643,496,2025-04-23,cancelled
8,2363,57,2025-04-15,completed
9,4088,475,2025-06-20,pending
10,3821,349,2025-06-06,pending
11,4286,495,2025-06-21,cancelled
12,4573,341,2025-06-01,pending
13,2488,250,2025-05-30,cancelled
14,530,410,2025-06-15,cancelled
15,128,233,2025-06-08,completed
16,1781,145,2025-04-27,completed
17,436,251,2025-06-18,cancelled
18,42,221,2025-04-25,cancelled
19,6,26,2025-04-25,cancelled
20,1129,180,2025-04-05,cancelled
21,4113,341,2025-05-08,pending
22,705,366,2025-05-13,cancelled
23,1169,376,2025-06-16,pending
24,3540,300,2025-06-10,completed
25,2383,113,2025-04-25,completed
26,3877,478,2025-05-28,cancelled
27,2038,416,2025-05-01,returned
28,3462,205,2025-04-27,completed
29,2141,472,2025-06-20,cancelled
30,4891,160,2025-05-08,pending
31,4620,224,2025-05-10,cancelled
32,4737,72,2025-05-22,pending
33,2049,70,2025-04-20,returned
34,4541,103,2025-06-19,cancelled
35,2499,44,2025-05-05,cancelled
36,4643,475,2025-04-13,returned
37,4472,94,2025-03-28,returned
38,3580,50,2025-04-08,pending
39,4314,227,2025-04-24,cancelled
40,4128,479,2025-04-29,cancelled
41,3837,182,2025-04-16,returned
42,3822,216,2025-06-08,returned
43,3779,15,2025-04-14,completed
44,3449,46,2025-05-03,pending
45,2478,403,2025-05-08,pending
46,4755,263,2025-04-05,cancelled
47,1043,318,2025-04-16,cancelled
48,439,387,2025-05-19,returned
49,1032,207,2025-05-08,completed
50,3792,414,2025-04-18,returned
51,446,44,2025-03-24,completed
52,2214,425,2025-06-05,completed
53,2732,305,2025-05-25,completed
54,2381,290,2025-04-21,returned
55,2715,443,2025-03-27,completed
56,995,380,2025-05-22,completed
57,1680,265,2025-04-27,pending
58,4605,380,2025-05-31,returned
59,1118,115,2025-05-06,pending
60,2465,322,2025-05-01,cancelled
61,53,413,2025-06-13,returned
62,1645,59,2025-05-21,completed
63,1,79,2025-06-08,completed
64,4259,50,2025-05-10,pending
65,1674,54,2025-05-16,returned
66,202,427,2025-05-21,returned
67,3201,29,2025-04-10,completed
68,2457,208,2025-05-21,returned
69,1508,420,2025-06-08,pending
70,4479,134,2025-04-25,returned
71,1010,222,2025-05-18,pending
72,178,95,2025-04-22,pending
73,1972,88,2025-04-18,pending
74,3901,246,2025-04-09,cancelled
75,2372,342,2025-05-10,completed
76,4824,253,2025-04-02,cancelled
77,2255,201,2025-04-10,returned
78,880,238,2025-06-11,returned
